Title,Year,Metacritic,"Sequel, remake, or otherwise based on well-established IP (NOT THE SAME AS ADAPTED)",Subjective Field: Acclaimed Filmmaker,Majority Black Cast / Queer Themes (test to see if this field accurately captures snubs such as If Beale Street Could Talk or Carol),Foreign Language,SpiritNom,Spirit,AstraNom,Astra,AstraCnt,AstraDirNom,AstraDirWin,SAGNom,SAG,DGANom,DGA,WGANom,WGA,PGANom,PGA,CCNom,CCTotalNom,CC,NBRNom,NBR,AFI,GGDirectorNom,GGDirector,GGDramaNom,GGDrama,GGComedyNom,GGComedy,BAFTANom,BAFTA,BAFTACnt,LAFCA,NYFCC,NSFC,Palme dOr,TIFF,Golden Lion,Best Picture Nominee,OscarNoms,DirectingNom,ActingNom,ScreenplayNom,EditingNom,Win
The Whale,2022,60,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0
The Banshees of Inisherin,2022,87,0,1,0,0,0,0,1,0,7,1,0,1,0,1,0,0,0,1,0,1,9,0,1,0,1,1,0,0,0,1,1,1,0,10,0,0,0,0,0,0,1,9,1,1,1,1,0
The Fabelmans,2022,85,0,1,0,0,0,0,1,0,4,1,0,1,0,1,0,1,0,1,0,1,11,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,7,1,1,1,0,0
Women Talking,2022,77,0,0,0,0,1,0,1,0,5,1,0,1,0,0,0,1,1,0,0,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
Tar,2022,93,0,1,0,0,1,0,1,0,5,1,0,0,0,1,0,1,0,1,0,1,7,0,0,0,1,0,0,1,0,0,0,1,0,5,1,1,1,0,0,0,1,6,1,1,1,1,0
Top Gun: Maverick,2022,78,1,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,1,0,1,6,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,0,0,1,0
The Menu,2022,71,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She Said,2022,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther: Wakanda Forever,2022,67,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Batman,2022,72,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nope,2022,77,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,2022,67,1,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,1,6,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0
Elvis,2022,64,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,1,1,0,1,0,0,0,1,0,9,0,0,0,0,0,0,1,8,0,1,0,1,0
Glass Onion,2022,81,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRR,2022,83,0,0,0,1,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aftersun,2022,95,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Till,2022,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Woman King,2022,76,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Triangle of Sadness,2022,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,3,1,0,1,0,0
All Quiet on the Western Front,2022,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0
All the Beauty and the Bloodshed,2022,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bones and All,2022,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Father the Devil,2022,87,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CODA,2021,72,0,0,0,0,0,0,1,1,9,1,0,1,1,0,0,1,1,1,1,1,4,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,1,1,0,1
Belfast,2021,75,0,1,0,0,0,0,1,0,9,1,0,1,0,1,0,0,0,1,0,1,11,0,1,0,1,1,0,1,0,0,0,1,0,6,0,0,0,0,1,0,1,7,1,1,1,0,0
Don't Look Up,2021,49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,6,0,1,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,4,0,0,1,1,0
House of Gucci,2021,59,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
King Richard,2021,76,0,0,1,0,0,0,1,0,8,1,0,1,0,0,0,1,0,1,0,1,6,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,1,1,1,0
The Power of the Dog,2021,89,0,1,1,0,0,0,1,0,6,1,1,0,0,1,1,0,0,1,0,1,10,1,0,0,1,1,1,1,1,0,0,1,1,8,0,0,0,0,0,0,1,12,1,1,1,1,0
Licorice Pizza,2021,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,8,0,1,1,1,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,1,3,1,0,1,0,0
No Time to Die,2021,68,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
West Side Story,2021,85,1,1,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,1,0,1,11,0,1,0,1,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,7,1,1,0,0,0
Dune,2021,74,0,1,0,0,0,0,1,0,10,1,1,0,0,1,0,1,0,1,0,1,10,0,1,0,1,1,0,1,0,0,0,1,0,11,0,0,0,0,0,0,1,10,0,0,1,1,0
Being the Ricardos,2021,60,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
The French Dispatch,2021,75,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,2021,76,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Last Night in Soho,2021,65,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nightmare Alley,2021,70,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,8,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0
tick tick BOOM,2021,74,0,0,1,0,0,0,1,0,8,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Duel,2021,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rocket,2021,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tragedy of Macbeth,2021,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrano,2021,66,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Titane,2021,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Happening,2021,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Drive My Car,2021,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,4,1,0,1,0,0
The Lost Daughter,2021,86,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,1,0,0
Cmon Cmon,2021,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
